Filename, Match
980935 , Sunrisers Hyderabad vs Kings XI Punjab
980931 , Rising Pune Supergiants vs Royal Challengers Bangalore
980929 , Gujarat Lions vs Sunrisers Hyderabad
980927 , Mumbai Indians vs Royal Challengers Bangalore
980925 , Kings XI Punjab vs Kolkata Knight Riders
980923 , Sunrisers Hyderabad vs Mumbai Indians
980919 , Kings XI Punjab vs Rising Pune Supergiants
980921 , Royal Challengers Bangalore vs Delhi Daredevils
980915 , Sunrisers Hyderabad vs Kolkata Knight Riders
980917 , Mumbai Indians vs Gujarat Lions
980913 , Delhi Daredevils vs Kings XI Punjab
980911 , Gujarat Lions vs Rising Pune Supergiants
980909 , Kolkata Knight Riders vs Mumbai Indians
980907 , Royal Challengers Bangalore vs Sunrisers Hyderabad
980905 , Kings XI Punjab vs Gujarat Lions
980903 , Kolkata Knight Riders vs Delhi Daredevils
980901 , Mumbai Indians vs Rising Pune Supergiants
829823 , Mumbai Indians vs Chennai Super Kings
829821 , Chennai Super Kings vs Royal Challengers Bangalore
829819 , Royal Challengers Bangalore vs Rajasthan Royals
829817 , Chennai Super Kings vs Mumbai Indians
829813 , Royal Challengers Bangalore vs Delhi Daredevils
829815 , Sunrisers Hyderabad vs Mumbai Indians
829809 , Kings XI Punjab vs Chennai Super Kings
829811 , Rajasthan Royals vs Kolkata Knight Riders
829807 , Sunrisers Hyderabad vs Royal Challengers Bangalore
829805 , Mumbai Indians vs Kolkata Knight Riders
829803 , Kings XI Punjab vs Royal Challengers Bangalore
829801 , Delhi Daredevils vs Chennai Super Kings
829799 , Sunrisers Hyderabad vs Kings XI Punjab
829795 , Mumbai Indians vs Royal Challengers Bangalore
829797 , Chennai Super Kings vs Rajasthan Royals
829791 , Kolkata Knight Riders vs Kings XI Punjab
829793 , Delhi Daredevils vs Sunrisers Hyderabad
829789 , Chennai Super Kings vs Mumbai Indians
829761 , Kolkata Knight Riders vs Delhi Daredevils
829787 , Rajasthan Royals vs Sunrisers Hyderabad
829785 , Royal Challengers Bangalore vs Kings XI Punjab
829783 , Mumbai Indians vs Delhi Daredevils
829779 , Chennai Super Kings vs Royal Challengers Bangalore
829781 , Kolkata Knight Riders vs Sunrisers Hyderabad
829775 , Kings XI Punjab vs Mumbai Indians
829777 , Rajasthan Royals vs Delhi Daredevils
829771 , Royal Challengers Bangalore vs Kolkata Knight Riders
829773 , Sunrisers Hyderabad vs Chennai Super Kings
829767 , Delhi Daredevils vs Kings XI Punjab
829769 , Mumbai Indians vs Rajasthan Royals
829723 , Kolkata Knight Riders vs Chennai Super Kings
829763 , Royal Challengers Bangalore vs Rajasthan Royals
829765 , Chennai Super Kings vs Kolkata Knight Riders
829759 , Kings XI Punjab vs Sunrisers Hyderabad
829757 , Delhi Daredevils vs Royal Challengers Bangalore
829751 , Mumbai Indians vs Sunrisers Hyderabad
829753 , Chennai Super Kings vs Kings XI Punjab
829749 , Rajasthan Royals vs Royal Challengers Bangalore
829747 , Delhi Daredevils vs Mumbai Indians
829743 , Sunrisers Hyderabad vs Kolkata Knight Riders
829745 , Royal Challengers Bangalore vs Chennai Super Kings
829741 , Rajasthan Royals vs Kings XI Punjab
829739 , Delhi Daredevils vs Kolkata Knight Riders
829735 , Rajasthan Royals vs Chennai Super Kings
829737 , Royal Challengers Bangalore vs Mumbai Indians
829731 , Sunrisers Hyderabad vs Delhi Daredevils
829733 , Kings XI Punjab vs Kolkata Knight Riders
829729 , Mumbai Indians vs Chennai Super Kings
829727 , Sunrisers Hyderabad vs Rajasthan Royals
829725 , Kings XI Punjab vs Delhi Daredevils
829721 , Rajasthan Royals vs Mumbai Indians
829719 , Royal Challengers Bangalore vs Sunrisers Hyderabad
829715 , Delhi Daredevils vs Rajasthan Royals
829717 , Mumbai Indians vs Kings XI Punjab
829711 , Chennai Super Kings vs Sunrisers Hyderabad
829713 , Kolkata Knight Riders vs Royal Challengers Bangalore
829709 , Kings XI Punjab vs Rajasthan Royals
829707 , Chennai Super Kings vs Delhi Daredevils
829705 , Kolkata Knight Riders vs Mumbai Indians
734049 , Kolkata Knight Riders vs Kings XI Punjab
734047 , Chennai Super Kings vs Kings XI Punjab
734045 , Chennai Super Kings vs Mumbai Indians
734043 , Kings XI Punjab vs Kolkata Knight Riders
734039 , Kings XI Punjab vs Delhi Daredevils
734041 , Mumbai Indians vs Rajasthan Royals
734035 , Royal Challengers Bangalore vs Chennai Super Kings
734037 , Kolkata Knight Riders vs Sunrisers Hyderabad
734031 , Mumbai Indians vs Delhi Daredevils
734033 , Kings XI Punjab vs Rajasthan Royals
734027 , Kolkata Knight Riders vs Royal Challengers Bangalore
734029 , Chennai Super Kings vs Sunrisers Hyderabad
734025 , Kings XI Punjab vs Mumbai Indians
734021 , Sunrisers Hyderabad vs Royal Challengers Bangalore
734023 , Kolkata Knight Riders vs Chennai Super Kings
734017 , Rajasthan Royals vs Mumbai Indians
734019 , Delhi Daredevils vs Kings XI Punjab
734013 , Chennai Super Kings vs Royal Challengers Bangalore
734015 , Sunrisers Hyderabad vs Kolkata Knight Riders
734011 , Rajasthan Royals vs Delhi Daredevils
734007 , Sunrisers Hyderabad vs Kings XI Punjab
734009 , Kolkata Knight Riders vs Mumbai Indians
734003 , Chennai Super Kings vs Rajasthan Royals
734005 , Royal Challengers Bangalore vs Delhi Daredevils
734001 , Sunrisers Hyderabad vs Mumbai Indians
733997 , Kings XI Punjab vs Kolkata Knight Riders
733999 , Royal Challengers Bangalore vs Rajasthan Royals
733993 , Delhi Daredevils vs Sunrisers Hyderabad
733995 , Mumbai Indians vs Chennai Super Kings
733991 , Royal Challengers Bangalore vs Kings XI Punjab
733989 , Rajasthan Royals vs Sunrisers Hyderabad
733985 , Delhi Daredevils vs Kolkata Knight Riders
733987 , Kings XI Punjab vs Chennai Super Kings
733983 , Mumbai Indians vs Royal Challengers Bangalore
733979 , Rajasthan Royals vs Kolkata Knight Riders
733981 , Delhi Daredevils vs Chennai Super Kings
733977 , Royal Challengers Bangalore vs Sunrisers Hyderabad
733973 , Mumbai Indians vs Kings XI Punjab
733975 , Delhi Daredevils vs Rajasthan Royals
733971 , Chennai Super Kings vs Kolkata Knight Riders
729317 , Mumbai Indians vs Sunrisers Hyderabad
729315 , Kolkata Knight Riders vs Rajasthan Royals
729313 , Kings XI Punjab vs Royal Challengers Bangalore
729309 , Delhi Daredevils vs Mumbai Indians
729311 , Sunrisers Hyderabad vs Chennai Super Kings
729305 , Rajasthan Royals vs Royal Challengers Bangalore
729307 , Kolkata Knight Riders vs Kings XI Punjab
729301 , Sunrisers Hyderabad vs Delhi Daredevils
729303 , Chennai Super Kings vs Mumbai Indians
729299 , Royal Challengers Bangalore vs Kolkata Knight Riders
729297 , Rajasthan Royals vs Chennai Super Kings
729295 , Kings XI Punjab vs Sunrisers Hyderabad
729293 , Chennai Super Kings vs Delhi Daredevils
729291 , Rajasthan Royals vs Kings XI Punjab
729287 , Royal Challengers Bangalore vs Mumbai Indians
729289 , Kolkata Knight Riders vs Delhi Daredevils
729283 , Chennai Super Kings vs Kings XI Punjab
729285 , Sunrisers Hyderabad vs Rajasthan Royals
729281 , Delhi Daredevils vs Royal Challengers Bangalore
729279 , Mumbai Indians vs Kolkata Knight Riders
598073 , Chennai Super Kings vs Mumbai Indians
598072 , Mumbai Indians vs Rajasthan Royals
598071 , Rajasthan Royals vs Sunrisers Hyderabad
598070 , Chennai Super Kings vs Mumbai Indians
598067 , Pune Warriors vs Delhi Daredevils
598069 , Sunrisers Hyderabad vs Kolkata Knight Riders
598066 , Kings XI Punjab vs Mumbai Indians
598068 , Royal Challengers Bangalore vs Chennai Super Kings
598065 , Sunrisers Hyderabad vs Rajasthan Royals
598028 , Kings XI Punjab vs Delhi Daredevils
598061 , Kolkata Knight Riders vs Pune Warriors
598063 , Mumbai Indians vs Rajasthan Royals
598045 , Royal Challengers Bangalore vs Kings XI Punjab
598062 , Chennai Super Kings vs Delhi Daredevils
598060 , Mumbai Indians vs Sunrisers Hyderabad
598057 , Kolkata Knight Riders vs Royal Challengers Bangalore
598058 , Rajasthan Royals vs Chennai Super Kings
598055 , Pune Warriors vs Mumbai Indians
598056 , Kings XI Punjab vs Sunrisers Hyderabad
598054 , Delhi Daredevils vs Royal Challengers Bangalore
598052 , Kings XI Punjab vs Rajasthan Royals
598053 , Pune Warriors vs Kolkata Knight Riders
598051 , Sunrisers Hyderabad vs Chennai Super Kings
598049 , Rajasthan Royals vs Delhi Daredevils
598050 , Mumbai Indians vs Kolkata Knight Riders
598064 , Kings XI Punjab vs Royal Challengers Bangalore
598046 , Mumbai Indians vs Chennai Super Kings
598047 , Rajasthan Royals vs Pune Warriors
598044 , Sunrisers Hyderabad vs Delhi Daredevils
598043 , Kolkata Knight Riders vs Rajasthan Royals
598041 , Chennai Super Kings vs Kings XI Punjab
598042 , Pune Warriors vs Royal Challengers Bangalore
598039 , Sunrisers Hyderabad vs Mumbai Indians
598040 , Delhi Daredevils vs Kolkata Knight Riders
598038 , Pune Warriors vs Chennai Super Kings
598036 , Rajasthan Royals vs Royal Challengers Bangalore
598037 , Mumbai Indians vs Kings XI Punjab
598034 , Chennai Super Kings vs Kolkata Knight Riders
598035 , Delhi Daredevils vs Pune Warriors
598032 , Rajasthan Royals vs Sunrisers Hyderabad
598033 , Mumbai Indians vs Royal Challengers Bangalore
598031 , Kolkata Knight Riders vs Kings XI Punjab
598030 , Chennai Super Kings vs Sunrisers Hyderabad
598029 , Kolkata Knight Riders vs Mumbai Indians
598027 , Royal Challengers Bangalore vs Pune Warriors
598059 , Delhi Daredevils vs Kings XI Punjab
598026 , Chennai Super Kings vs Rajasthan Royals
598024 , Delhi Daredevils vs Mumbai Indians
598025 , Kings XI Punjab vs Pune Warriors
598022 , Kolkata Knight Riders vs Chennai Super Kings
598023 , Royal Challengers Bangalore vs Rajasthan Royals
598021 , Sunrisers Hyderabad vs Kings XI Punjab
598020 , Delhi Daredevils vs Chennai Super Kings
